Letter,Small Angle,Large Angle
a,180,225
b,180,270
c,180,315
d,0,180
e,45,180
f,90,180
g,135,180
h,225,270
i,225,315
j,0,90
k,0,225
l,45,225
m,90,225
n,135,225
o,270,315
p,0,270
q,45,270
r,90,270
s,135,270
t,0,315
u,45,315
v,0,135
w,45,90
x,45,135
y,90,315
z,90,135
